code,Commodities
313,T.V. Cumbu
314,Tamarind Fruit
315,Tamarind Seed
316,Tapioca
317,Taramira
318,Tea
319,Tender Coconut
320,Thinai (Italian Millet)
321,Thogrikai
322,Thondekai
323,Tinda
324,Tobacco
325,Tomato
326,Torchwood
327,Toria
328,Tube Flower
329,Tube Rose(Double)
330,Tube Rose(Loose)
331,Tube Rose(Single)
332,Turmeric
333,Turmeric (raw)
334,Turnip
335,Walnut
336,Water Melon
337,Wheat
338,Wheat Atta
339,White Peas
340,White Pumpkin
341,Wood
342,Wool
343,Yam
344,Yam (Ratalu)
